alert_id,timestamp,source_ip,destination_ip,source_port,destination_port,protocol,traffic_type,host_affected,event_category,attack_type,attack_signature,severity,mitre_tactic,kill_chain_stage,log_source,ids_ips_alert,firewall_action,malware_indicator,anomaly_score,failed_login_attempts,request_rate_per_min,asset_criticality,class_label,risk_score,priority_level
ALT-R-00001,2026-01-15T21:06:00Z,52.193.131.76,10.80.250.231,19229,3389,TCP,SSH,pc-soporte-05,intrusion_attempt,Brute Force,behavioral pattern,High,Credential Access,Credential Access,WAF,Confirmed malicious indicator,Monitored,Suspicious,0.68,22,91,Low,malicioso,80,baja
ALT-R-00002,2026-01-27T18:15:00Z,10.100.59.249,192.168.120.104,45323,443,TCP,HTTP,srv-finanzas-01,web_attack,Cross Site Scripting,behavioral pattern,High,Execution,Exploitation,IPS,Suspicious pattern,Allowed,Suspicious,0.58,1,23,Critical,a_investigar,61,alta
ALT-R-00003,2026-01-16T15:55:00Z,192.168.163.240,192.168.39.120,38424,80,TCP,HTTPS,srv-vpn-01,web_attack,SQL Injection,SQL Injection signature,High,Execution,Exploitation,IPS,Suspicious pattern,Blocked,No,0.51,8,54,Critical,a_investigar,60,media
ALT-R-00004,2026-01-02T01:41:00Z,10.123.23.250,10.178.116.20,59429,995,TCP,SSH,srv-logs-01,port_scan,Port Scan,behavioral pattern,Medium,Reconnaissance,Reconnaissance,EDR,Behavior anomaly,Blocked,Suspicious,0.61,11,142,Medium,a_investigar,66,alta
ALT-R-00005,2025-12-05T22:05:00Z,23.235.25.26,10.155.230.196,3968,22,TCP,SSH,srv-mail-01,intrusion_attempt,Brute Force,generic signature,Critical,Credential Access,Credential Access,IDS,Suspicious pattern,Allowed,Yes,0.52,8,66,High,a_investigar,71,baja
ALT-R-00006,2025-11-29T21:31:00Z,10.164.53.193,10.225.28.68,57353,80,TCP,DNS,pc-operaciones-07,admin_login,No attack,behavioral pattern,Medium,No tactic,Execution,EDR,No alert,Monitored,No,0.02,0,6,Medium,benigno,23,baja
ALT-R-00007,2025-11-28T16:48:00Z,91.57.192.61,10.65.98.235,53486,80,TCP,HTTP,pc-ventas-03,web_attack,SQL Injection,behavioral pattern,High,Execution,Exploitation,SIEM,Behavior anomaly,Quarantined,Yes,0.51,1,74,Medium,a_investigar,51,baja
ALT-R-00008,2025-11-17T11:35:00Z,121.200.79.40,10.167.184.217,57763,53,UDP,DNS,pc-ventas-03,dns_tunneling_suspected,DNS Tunneling,DNS Tunneling signature,High,Command and Control,Command and Control,Firewall,Confirmed malicious indicator,Allowed,Yes,0.72,11,121,Medium,malicioso,67,baja
ALT-R-00009,2026-01-04T07:52:00Z,192.168.213.224,10.82.238.81,59377,445,TCP,SMB,srv-web-01,lateral_movement,Lateral Movement,Lateral Movement signature,Critical,Lateral Movement,Installation,IPS,Confirmed malicious indicator,Blocked,Yes,0.85,1,96,High,malicioso,73,alta
ALT-R-00010,2025-11-22T12:44:00Z,172.27.113.189,192.168.50.66,53106,22,TCP,HTTP,srv-rh-01,remote_admin,No attack,behavioral pattern,Low,No tactic,Execution,EDR,Policy-allowed activity,Blocked,No,0.03,0,4,High,benigno,24,baja
ALT-R-00011,2026-03-06T19:57:00Z,212.38.240.30,172.29.130.125,53977,80,TCP,SSH,srv-erp-01,mail_transfer,No attack,No attack signature,High,No tactic,Execution,EDR,Routine traffic,Allowed,Yes,0.30,9,40,Critical,a_investigar,61,media
ALT-R-00012,2025-11-17T02:11:00Z,77.49.176.219,192.168.237.139,61079,443,TCP,DNS,srv-web-01,unusual_remote_access,Unknown,Unknown signature,Medium,No tactic,Delivery,Firewall,Suspicious pattern,Monitored,Suspicious,0.40,0,62,High,a_investigar,42,media
ALT-R-00013,2026-01-03T12:16:00Z,138.143.67.122,172.18.65.220,44977,3389,UDP,DNS,pc-operaciones-07,file_access,No attack,No attack signature,High,No tactic,Execution,IDS,No alert,Monitored,No,0.07,1,13,Medium,benigno,33,media
ALT-R-00014,2025-11-09T10:50:00Z,192.168.203.4,172.22.87.122,10799,443,TCP,HTTP,srv-app-02,anomalous_web_request,Unknown,behavioral pattern,High,No tactic,Delivery,Firewall,Policy-allowed activity,Allowed,Suspicious,0.52,5,70,High,a_investigar,52,media
